RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Good,75,364,12,123,43,0,0,98,24,7,6,43,0,26,2,1,1,1,31.0,7,2,1,45
Bad,76,134,11,67,28,0,0,100,123,7,7,28,1,21,35,0,0,62,14.0,3,2,1,83
Good,88,330,9,127,22,0,0,100,123,7,7,23,1,14,0,0,0,4,,2,1,0,27
Good,76,160,5,55,15,0,0,100,123,7,7,28,2,47,4,1,1,60,96.0,2,3,1,100
Bad,79,348,5,89,27,0,0,100,123,7,7,27,2,11,4,1,1,29,,5,1,0,50
Bad,64,212,6,76,7,5,4,64,10,6,3,11,2,55,8,0,0,56,86.0,1,2,0,75
Bad,72,169,3,76,39,0,0,98,20,7,6,41,5,39,0,3,2,26,92.0,4,4,1,53
Bad,60,313,2,78,27,4,1,76,9,6,3,33,4,36,0,5,5,42,30.0,6,2,1,73
Bad,67,69,3,43,6,3,1,50,10,6,4,10,1,60,0,5,3,27,101.0,1,2,0,60
Bad,67,196,10,55,12,0,0,100,123,7,7,12,1,17,0,0,0,88,62.0,9,1,5,100
Bad,77,178,9,52,20,0,0,100,123,7,7,20,1,20,0,5,5,17,53.0,6,3,0,56
Bad,58,163,6,101,20,3,1,71,16,7,5,24,2,29,2,4,4,86,,5,2,2,67
Good,84,373,16,107,32,0,0,100,123,7,7,32,0,38,0,1,1,14,30.0,7,5,0,67
Bad,66,132,3,70,22,0,0,96,81,7,6,25,1,48,1,1,1,87,,3,1,3,100
Bad,66,83,1,43,29,0,0,100,123,7,7,30,6,23,0,7,7,29,61.0,7,5,3,50
